session_id,session_start_dt,session_finish_dt,username,ip_address,country,city,geo_point
35,2024-04-07 12:22:35,2024-04-07 20:17:54,user455,192.168.156.162,United States,Springfield,"[42.1155,-72.5395]"
36,2024-04-06 07:48:07,2024-04-06 09:10:03,user346,192.168.155.9,Japan,Shizuoka,"[34.9858,138.3854]"
37,2024-04-06 14:33:32,2024-04-06 22:59:45,user53,192.168.149.0,Venezuela,Cabimas,"[10.43,-71.45]"
38,2024-04-10 01:47:37,2024-04-10 08:10:07,user91,192.168.197.50,Venezuela,Maiquetía,"[10.6004,-66.97]"
39,2024-04-09 15:39:12,2024-04-09 18:46:49,user260,192.168.148.87,United States,Oklahoma City,"[35.4676,-97.5137]"
40,2024-04-09 12:37:28,2024-04-09 14:10:03,user327,192.168.103.17,United States,Des Moines,"[41.5725,-93.6105]"
41,2024-04-05 07:35:42,2024-04-05 10:59:10,user392,192.168.196.225,Italy,Naples,"[40.84,14.245]"
42,2024-04-07 17:29:29,2024-04-07 23:25:20,user163,192.168.222.191,Brazil,Salvador,"[-12.97,-38.48]"
43,2024-04-11 08:45:46,2024-04-11 10:10:15,user72,192.168.106.11,United States,Greensboro,"[36.0956,-79.8268]"
44,2024-04-05 12:21:45,2024-04-05 16:26:56,user446,192.168.76.182,United States,Fayetteville,"[36.0713,-94.166]"
45,2024-04-10 08:40:20,2024-04-10 12:04:19,user80,192.168.153.148,United Kingdom,Bournemouth,"[50.73,-1.9]"
46,2024-04-08 00:43:10,2024-04-08 09:25:57,user93,192.168.123.107,Netherlands,Eindhoven,"[51.43,5.5]"
47,2024-04-08 11:24:45,2024-04-08 17:30:49,user183,192.168.235.63,Brazil,Caxias do Sul,"[-29.18,-51.17]"
48,2024-04-03 14:46:58,2024-04-03 15:47:10,user44,192.168.163.106,Russia,Krasnoyarsk,"[56.014,92.866]"
49,2024-04-05 10:14:15,2024-04-05 11:28:08,user479,192.168.24.189,Russia,Orël,"[52.97,36.07]"
50,2024-04-07 10:51:32,2024-04-07 11:59:11,user374,192.168.98.181,Canada,Edmonton,"[53.55,-113.5]"
51,2024-04-10 07:32:09,2024-04-10 14:57:01,user406,192.168.188.168,Russia,Krasnodar,"[45.02,39]"
52,2024-04-08 21:14:39,2024-04-09 01:48:49,user437,192.168.55.221,United States,Boston,"[42.3188,-71.0846]"
53,2024-04-09 13:35:29,2024-04-09 20:18:12,user493,192.168.86.82,United States,Mesa,"[33.4017,-111.7181]"
54,2024-04-09 00:20:21,2024-04-09 00:58:51,user451,192.168.189.208,United Kingdom,Kingston upon Hull,"[53.7504,-0.33]"
55,2024-04-04 12:02:43,2024-04-04 15:24:16,user267,192.168.248.23,"Korea, South",Jeju,"[33.5101,126.5219]"
56,2024-04-04 15:43:36,2024-04-04 22:33:20,user448,192.168.223.107,United States,Santa Rosa,"[38.4458,-122.7067]"
57,2024-04-04 07:57:04,2024-04-04 14:00:34,user256,192.168.132.129,Nigeria,Awka,"[6.2104,7.07]"
58,2024-04-04 09:05:55,2024-04-04 11:31:49,user474,192.168.151.225,Argentina,Córdoba,"[-31.4,-64.1823]"
59,2024-04-10 06:37:02,2024-04-10 15:04:58,user418,192.168.115.130,Germany,Cologne,"[50.93,6.95]"
60,2024-04-10 11:17:49,2024-04-10 18:28:10,user430,192.168.115.171,Brazil,Franca,"[-20.53,-47.39]"
61,2024-04-06 03:48:52,2024-04-06 10:18:42,user249,192.168.11.224,United States,Akron,"[41.0798,-81.5219]"
62,2024-04-08 12:47:47,2024-04-08 13:33:14,user286,192.168.150.51,Russia,Stavropol’,"[45.05,41.98]"
63,2024-04-04 05:58:42,2024-04-04 12:38:16,user321,192.168.6.47,Israel,Jerusalem,"[31.7784,35.2066]"
64,2024-04-05 00:58:31,2024-04-05 06:13:56,user362,192.168.39.49,Ukraine,Mariupol’,"[47.0962,37.5562]"
65,2024-04-05 16:00:32,2024-04-05 20:59:56,user310,192.168.25.48,Brazil,Vila Velha,"[-20.3676,-40.318]"
66,2024-04-06 03:40:43,2024-04-06 08:23:12,user65,192.168.136.186,Italy,Verona,"[45.4404,10.99]"
67,2024-04-05 05:06:13,2024-04-05 07:10:36,user198,192.168.87.134,Brazil,Natal,"[-5.78,-35.24]"
68,2024-04-05 01:36:32,2024-04-05 06:35:39,user230,192.168.220.184,Turkey,Şanlıurfa,"[37.17,38.795]"
69,2024-04-04 23:40:19,2024-04-05 00:04:57,user381,192.168.41.63,Kazakhstan,Pavlodar,"[52.3,76.95]"
70,2024-04-12 01:16:26,2024-04-12 08:14:58,user203,192.168.106.234,Egypt,Cairo,"[30.05,31.25]"
71,2024-04-08 06:59:06,2024-04-08 14:44:36,user302,192.168.148.142,Japan,Miyazaki,"[31.9182,131.4184]"
72,2024-04-06 15:37:39,2024-04-06 19:10:15,user491,192.168.193.170,Russia,Tver’,"[56.86,35.89]"
73,2024-04-05 05:04:33,2024-04-05 07:38:41,user414,192.168.8.241,Belgium,Antwerp,"[51.2204,4.415]"
74,2024-04-08 14:21:54,2024-04-08 21:22:44,user273,192.168.53.170,Brazil,Macapá,"[0.033,-51.05]"
75,2024-04-05 23:28:26,2024-04-06 01:42:50,user495,192.168.126.46,Indonesia,Mataram,"[-8.5795,116.135]"
76,2024-04-13 16:06:46,2024-04-13 17:12:27,user203,192.168.106.234,Egypt,Cairo,"[30.05,31.25]"
77,2024-04-04 07:33:55,2024-04-04 15:00:40,user399,192.168.29.198,Russia,Yaroslavl’,"[57.62,39.87]"
78,2024-04-05 02:46:09,2024-04-05 08:07:34,user181,192.168.172.166,Indonesia,Banda Aceh,"[5.55,95.32]"
79,2024-04-05 20:22:19,2024-04-06 04:30:59,user62,192.168.148.3,Germany,Saarbrücken,"[49.2504,6.97]"
80,2024-04-04 10:25:59,2024-04-04 18:34:05,user195,192.168.148.107,Japan,Kanazawa,"[36.56,136.64]"
81,2024-04-10 00:57:49,2024-04-10 09:13:53,user101,192.168.68.196,United Arab Emirates,Dubai,"[25.23,55.28]"
82,2024-04-07 05:13:53,2024-04-07 10:32:09,user264,192.168.60.158,United Arab Emirates,Al ‘Ayn,"[24.2305,55.74]"
83,2024-04-10 07:39:59,2024-04-10 09:38:50,user5,192.168.125.80,Vietnam,Phan Thiết,"[10.9337,108.1001]"
84,2024-04-08 05:22:42,2024-04-08 14:05:54,user498,192.168.77.78,United States,Riverside,"[33.9381,-117.3948]"
85,2024-04-04 17:37:50,2024-04-04 21:51:35,user363,192.168.220.162,Mexico,Xalapa,"[19.53,-96.92]"
86,2024-04-11 15:56:26,2024-04-11 23:00:10,user346,192.168.155.9,Japan,Shizuoka,"[34.9858,138.3854]"
87,2024-04-05 22:18:32,2024-04-06 04:03:54,user250,192.168.215.183,United States,Bronx,"[40.8501,-73.8662]"
88,2024-04-14 22:27:20,2024-04-15 01:49:46,user327,192.168.103.17,United States,Des Moines,"[41.5725,-93.6105]"
89,2024-04-06 12:03:35,2024-04-06 13:57:03,user213,192.168.84.180,Poland,Warsaw,"[52.25,21]"
90,2024-04-08 17:26:02,2024-04-09 00:24:09,user412,192.168.208.5,United Arab Emirates,Dubai,"[25.23,55.28]"
91,2024-04-07 19:52:21,2024-04-08 03:43:12,user103,192.168.65.235,Russia,Murmansk,"[68.97,33.1]"
92,2024-04-03 22:00:00,2024-04-04 04:48:29,user212,192.168.100.75,"Korea, South",Ulsan,"[35.5467,129.317]"
93,2024-04-07 10:42:57,2024-04-07 18:06:07,user377,192.168.87.185,United States,Milwaukee,"[43.0642,-87.9673]"
94,2024-04-15 07:24:51,2024-04-15 13:09:50,user215,192.168.135.196,Egypt,Ismailia,"[30.5903,32.26]"
95,2024-04-06 12:44:11,2024-04-06 19:59:13,user155,192.168.86.36,Germany,Dortmund,"[51.53,7.45]"
96,2024-04-09 20:33:32,2024-04-10 01:28:01,user13,192.168.193.86,Morocco,Agadir,"[30.44,-9.62]"
97,2024-04-07 06:17:33,2024-04-07 15:15:16,user378,192.168.77.95,Turkey,Kocaeli,"[40.776,29.9306]"
98,2024-04-09 18:01:29,2024-04-10 01:17:10,user94,192.168.198.125,Japan,Nagoya,"[35.155,136.915]"
99,2024-04-07 02:47:40,2024-04-07 06:55:32,user17,192.168.225.133,Japan,Tokyo,"[35.685,139.7514]"
100,2024-04-11 17:13:12,2024-04-11 17:30:09,user363,192.168.220.162,Mexico,Xalapa,"[19.53,-96.92]"
101,2024-04-09 11:31:15,2024-04-09 12:27:03,user52,192.168.46.25,United States,Oakland,"[37.7903,-122.2165]"
102,2024-04-03 22:06:01,2024-04-04 05:18:20,user426,192.168.211.102,United States,Grand Rapids,"[42.9615,-85.6557]"
103,2024-04-06 08:24:35,2024-04-06 16:15:10,user112,192.168.191.170,United States,Fort Collins,"[40.5475,-105.0651]"
104,2024-04-06 07:50:11,2024-04-06 10:27:40,user266,192.168.186.14,Tunisia,Sfax,"[34.75,10.72]"
105,2024-04-05 22:47:01,2024-04-06 04:42:55,user499,192.168.229.108,France,Toulouse,"[43.62,1.4499]"
106,2024-04-09 07:23:01,2024-04-09 11:30:26,user293,192.168.7.15,Japan,Nagano,"[36.65,138.17]"
107,2024-04-06 13:56:02,2024-04-06 17:06:24,user474,192.168.151.225,Argentina,Córdoba,"[-31.4,-64.1823]"
108,2024-04-09 09:37:05,2024-04-09 15:37:38,user496,192.168.236.130,Brazil,Santo André,"[-23.6528,-46.5278]"
109,2024-04-07 14:59:46,2024-04-07 17:40:10,user83,192.168.173.159,Uruguay,Montevideo,"[-34.858,-56.1711]"
110,2024-04-05 22:10:53,2024-04-05 22:12:26,user391,192.168.107.10,Russia,Volgograd,"[48.71,44.5]"
111,2024-04-09 13:35:34,2024-04-09 18:05:37,user115,192.168.35.171,United States,Port St. Lucie,"[27.2796,-80.3884]"
112,2024-04-12 22:34:06,2024-04-13 07:35:03,user250,192.168.215.183,United States,Bronx,"[40.8501,-73.8662]"
113,2024-04-09 15:36:53,2024-04-09 20:03:30,user440,192.168.167.133,Italy,Rome,"[41.896,12.4833]"
114,2024-04-08 20:33:57,2024-04-08 20:44:06,user284,192.168.56.26,Poland,Szczecin,"[53.4204,14.53]"
115,2024-04-13 05:46:19,2024-04-13 12:25:14,user34,192.168.254.229,"Korea, South",Cheongju,"[36.6439,127.5012]"
116,2024-04-05 10:46:41,2024-04-05 19:07:41,user11,192.168.30.46,United States,Murrieta,"[33.572,-117.1909]"
117,2024-04-03 23:23:47,2024-04-04 04:05:08,user107,192.168.189.111,Vietnam,Huế,"[16.47,107.58]"
118,2024-04-04 04:31:49,2024-04-04 12:01:21,user30,192.168.10.72,France,Strasbourg,"[48.58,7.75]"
119,2024-04-13 03:15:42,2024-04-13 04:06:46,user446,192.168.76.182,United States,Fayetteville,"[36.0713,-94.166]"
120,2024-04-05 05:31:15,2024-04-05 12:44:09,user142,192.168.48.239,Japan,Wakayama,"[34.2231,135.1677]"
121,2024-04-06 16:23:52,2024-04-06 20:50:58,user37,192.168.216.228,United States,Kissimmee,"[28.3042,-81.4164]"
122,2024-04-08 15:13:55,2024-04-08 18:28:17,user438,192.168.14.172,United States,Durham,"[35.9795,-78.9032]"
123,2024-04-09 19:05:01,2024-04-09 23:58:31,user125,192.168.169.137,Argentina,San Luis,"[-33.3,-66.35]"
124,2024-04-06 13:20:42,2024-04-06 21:48:37,user330,192.168.81.14,Vietnam,Quảng Hà,"[16.06,108.25]"
125,2024-04-04 15:20:58,2024-04-04 19:00:41,user367,192.168.175.17,Germany,Augsburg,"[48.35,10.9]"
126,2024-04-08 22:24:26,2024-04-09 06:07:41,user57,192.168.228.113,United States,Detroit,"[42.3834,-83.1024]"
127,2024-04-08 07:37:13,2024-04-08 16:00:09,user415,192.168.139.130,Germany,Chemnitz,"[50.83,12.92]"
128,2024-04-03 21:31:15,2024-04-03 22:22:29,user105,192.168.106.244,Argentina,Salta,"[-24.7834,-65.4166]"
129,2024-04-16 07:32:22,2024-04-16 10:50:52,user437,192.168.55.221,United States,Boston,"[42.3188,-71.0846]"
130,2024-04-07 08:01:12,2024-04-07 09:42:39,user153,192.168.203.247,Nigeria,Ogbomoso,"[8.13,4.24]"
131,2024-04-06 07:52:54,2024-04-06 08:57:02,user465,192.168.176.211,Egypt,Kawm Umbū,"[24.47,32.95]"
132,2024-04-12 05:17:48,2024-04-12 12:19:37,user213,192.168.84.180,Poland,Warsaw,"[52.25,21]"
133,2024-04-04 05:49:33,2024-04-04 12:30:52,user423,192.168.228.178,Spain,Las Palmas de Gran Canaria,"[28.1,-15.43]"
134,2024-04-06 01:42:58,2024-04-06 06:00:33,user457,192.168.96.17,Japan,Matsuyama,"[33.8455,132.7658]"
135,2024-04-12 04:38:19,2024-04-12 05:42:47,user63,192.168.27.237,Turkey,Diyarbakır,"[37.9204,40.23]"
136,2024-04-03 18:57:32,2024-04-03 23:19:07,user484,192.168.78.202,United States,Miami,"[25.7839,-80.2102]"
137,2024-04-19 02:56:00,2024-04-19 07:16:19,user63,192.168.27.237,Turkey,Diyarbakır,"[37.9204,40.23]"
138,2024-04-09 18:35:21,2024-04-09 20:12:31,user364,192.168.88.226,United Kingdom,Edinburgh,"[55.9483,-3.2191]"
139,2024-04-13 09:36:36,2024-04-13 11:33:43,user52,192.168.46.25,United States,Oakland,"[37.7903,-122.2165]"
140,2024-04-06 01:18:12,2024-04-06 07:51:04,user433,192.168.181.1,Venezuela,Los Teques,"[10.42,-67.02]"
141,2024-04-09 15:15:21,2024-04-09 22:44:02,user95,192.168.130.215,Kazakhstan,Pavlodar,"[52.3,76.95]"
142,2024-04-05 21:37:42,2024-04-05 23:15:58,user167,192.168.221.18,Netherlands,Haarlem,"[52.3804,4.63]"
143,2024-04-07 19:30:13,2024-04-07 23:48:52,user124,192.168.98.91,Russia,Orenburg,"[51.78,55.11]"
144,2024-04-06 22:47:14,2024-04-07 04:23:38,user322,192.168.184.39,Turkey,Kocaeli,"[40.776,29.9306]"
145,2024-04-06 00:01:40,2024-04-06 03:33:20,user224,192.168.66.243,Sweden,Stockholm,"[59.3508,18.0973]"
146,2024-04-09 04:12:02,2024-04-09 08:03:39,user292,192.168.148.117,United States,San Antonio,"[29.4658,-98.5254]"
147,2024-04-03 18:28:55,2024-04-03 20:32:34,user442,192.168.137.197,Poland,Wrocław,"[51.1104,17.03]"
148,2024-04-06 06:53:33,2024-04-06 09:19:21,user140,192.168.219.105,Germany,Frankfurt,"[50.1,8.675]"
149,2024-04-08 20:01:26,2024-04-09 02:54:23,user31,192.168.9.49,United States,Palm Bay,"[27.955,-80.6628]"
150,2024-04-11 08:36:49,2024-04-11 16:31:27,user32,192.168.99.23,Ukraine,Kharkiv,"[50,36.25]"
151,2024-04-07 23:28:03,2024-04-08 06:39:10,user24,192.168.137.13,Brazil,Brasília,"[-15.7833,-47.9161]"
152,2024-04-06 11:35:28,2024-04-06 11:42:22,user15,192.168.65.31,Belgium,Antwerp,"[51.2204,4.415]"
153,2024-04-09 01:20:12,2024-04-09 03:03:41,user154,192.168.73.70,Indonesia,Ambon,"[-3.7167,128.2]"
154,2024-04-10 22:32:12,2024-04-11 02:31:43,user292,192.168.148.117,United States,San Antonio,"[29.4658,-98.5254]"
155,2024-04-09 21:47:33,2024-04-10 05:09:10,user37,192.168.216.228,United States,Kissimmee,"[28.3042,-81.4164]"
156,2024-04-09 07:16:32,2024-04-09 09:20:34,user408,192.168.106.19,Germany,Karlsruhe,"[49,8.4]"
157,2024-04-13 16:25:49,2024-04-13 21:38:11,user260,192.168.148.87,United States,Oklahoma City,"[35.4676,-97.5137]"
158,2024-04-06 14:33:09,2024-04-06 18:25:02,user384,192.168.109.166,Spain,Santa Cruz de Tenerife,"[28.47,-16.25]"
159,2024-04-09 23:22:46,2024-04-10 03:07:53,user424,192.168.201.30,United States,New Orleans,"[30.0687,-89.9288]"
160,2024-04-07 03:12:29,2024-04-07 11:34:13,user138,192.168.102.71,United States,Flint,"[43.0235,-83.6922]"
161,2024-04-06 03:12:45,2024-04-06 08:24:12,user462,192.168.240.46,Indonesia,Mataram,"[-8.5795,116.135]"
162,2024-04-04 03:11:17,2024-04-04 06:10:02,user375,192.168.34.29,Russia,Tver’,"[56.86,35.89]"
163,2024-04-09 15:47:49,2024-04-09 20:39:52,user206,192.168.215.219,Brazil,Campos,"[-21.75,-41.32]"
164,2024-04-07 09:37:13,2024-04-07 18:37:24,user303,192.168.69.50,Romania,Timişoara,"[45.7588,21.2234]"
165,2024-04-12 11:11:24,2024-04-12 17:29:25,user93,192.168.123.107,Netherlands,Eindhoven,"[51.43,5.5]"
166,2024-04-06 08:10:01,2024-04-06 14:14:15,user214,192.168.159.94,Morocco,Agadir,"[30.44,-9.62]"
167,2024-04-07 09:14:35,2024-04-07 09:32:55,user234,192.168.102.29,Vietnam,Nha Trang,"[12.25,109.17]"
168,2024-04-10 12:53:23,2024-04-10 14:08:19,user110,192.168.127.132,Egypt,Qinā,"[26.1505,32.72]"
169,2024-04-08 16:25:20,2024-04-08 16:54:40,user3,192.168.191.162,Argentina,Santa Fe,"[-31.6239,-60.69]"
170,2024-04-09 10:14:33,2024-04-09 14:06:16,user195,192.168.148.107,Japan,Kanazawa,"[36.56,136.64]"
171,2024-04-07 09:41:16,2024-04-07 16:02:27,user433,192.168.181.1,Venezuela,Los Teques,"[10.42,-67.02]"
172,2024-04-07 12:48:39,2024-04-07 17:05:43,user150,192.168.186.81,United States,Charlotte,"[35.2079,-80.8304]"
173,2024-04-14 00:10:42,2024-04-14 03:03:14,user307,192.168.77.202,Argentina,Corrientes,"[-27.49,-58.81]"
174,2024-04-03 16:04:42,2024-04-03 19:27:15,user466,192.168.79.174,Japan,Ōsaka,"[34.75,135.4601]"
175,2024-04-12 20:06:15,2024-04-13 01:23:07,user415,192.168.139.130,Germany,Chemnitz,"[50.83,12.92]"
176,2024-04-05 21:04:25,2024-04-06 03:03:02,user10,192.168.150.49,United States,Winston-Salem,"[36.1029,-80.261]"
177,2024-04-04 16:15:23,2024-04-04 22:33:53,user130,192.168.162.213,Brazil,Vila Velha,"[-20.3676,-40.318]"
178,2024-04-12 17:27:19,2024-04-12 22:35:15,user273,192.168.53.170,Brazil,Macapá,"[0.033,-51.05]"
179,2024-04-03 15:31:52,2024-04-03 18:10:57,user342,192.168.237.36,Mexico,Mazatlán,"[23.2211,-106.42]"
180,2024-04-11 03:51:23,2024-04-11 08:33:30,user381,192.168.41.63,Kazakhstan,Pavlodar,"[52.3,76.95]"
181,2024-04-07 13:52:30,2024-04-07 18:56:54,user306,192.168.192.63,Netherlands,Haarlem,"[52.3804,4.63]"
182,2024-04-08 01:37:38,2024-04-08 10:33:46,user365,192.168.239.10,Italy,Naples,"[40.84,14.245]"
183,2024-04-09 21:44:36,2024-04-10 04:15:58,user24,192.168.137.13,Brazil,Brasília,"[-15.7833,-47.9161]"
184,2024-04-05 05:31:25,2024-04-05 08:12:41,user58,192.168.17.213,Poland,Kraków,"[50.06,19.96]"
185,2024-04-08 16:45:42,2024-04-09 01:32:36,user434,192.168.45.43,Germany,Wiesbaden,"[50.0804,8.25]"
186,2024-04-05 13:48:21,2024-04-05 17:07:08,user277,192.168.46.248,Canada,Oshawa,"[43.88,-78.85]"
187,2024-04-08 13:44:59,2024-04-08 20:06:46,user220,192.168.213.152,Argentina,Santa Fe,"[-31.6239,-60.69]"
188,2024-04-11 22:12:06,2024-04-12 00:21:28,user440,192.168.167.133,Italy,Rome,"[41.896,12.4833]"
189,2024-04-09 06:43:07,2024-04-09 12:17:49,user83,192.168.173.159,Uruguay,Montevideo,"[-34.858,-56.1711]"
190,2024-04-05 01:47:05,2024-04-05 07:53:55,user64,192.168.27.190,Australia,Cranbourne,"[-38.0996,145.2834]"
191,2024-04-10 05:33:51,2024-04-10 09:29:54,user8,192.168.248.83,Indonesia,Binjai,"[3.6204,98.5001]"
192,2024-04-09 11:47:08,2024-04-09 19:02:50,user310,192.168.25.48,Brazil,Vila Velha,"[-20.3676,-40.318]"
193,2024-04-13 16:56:11,2024-04-14 00:09:42,user224,192.168.66.243,Sweden,Stockholm,"[59.3508,18.0973]"
194,2024-04-09 23:45:43,2024-04-10 07:38:50,user286,192.168.150.51,Russia,Stavropol’,"[45.05,41.98]"
195,2024-04-03 18:23:06,2024-04-03 20:37:40,user164,192.168.68.98,United States,Allentown,"[40.5961,-75.4755]"
196,2024-04-05 04:25:37,2024-04-05 10:54:11,user78,192.168.157.137,United States,Columbus,"[39.986,-82.9851]"
197,2024-04-06 17:22:40,2024-04-06 18:31:23,user41,192.168.112.62,Argentina,Mar del Plata,"[-38,-57.58]"
198,2024-04-06 03:05:53,2024-04-06 05:23:50,user187,192.168.82.8,Spain,Granada,"[37.165,-3.585]"
199,2024-04-16 16:01:27,2024-04-16 17:16:27,user346,192.168.155.9,Japan,Shizuoka,"[34.9858,138.3854]"
200,2024-04-17 16:32:46,2024-04-17 21:49:39,user327,192.168.103.17,United States,Des Moines,"[41.5725,-93.6105]"
201,2024-04-11 19:24:07,2024-04-11 21:52:29,user392,192.168.196.225,Italy,Naples,"[40.84,14.245]"
202,2024-04-07 21:32:38,2024-04-08 01:24:30,user468,192.168.33.132,Romania,Craiova,"[44.3263,23.8259]"
203,2024-04-10 07:59:45,2024-04-10 08:04:55,user230,192.168.220.184,Turkey,Şanlıurfa,"[37.17,38.795]"
204,2024-04-05 13:29:10,2024-04-05 13:58:08,user379,192.168.171.76,Venezuela,Mérida,"[8.4,-71.13]"
205,2024-04-08 20:27:44,2024-04-09 04:15:47,user236,192.168.95.148,Ukraine,Luhans’k,"[48.5698,39.3344]"
206,2024-04-07 18:09:49,2024-04-07 22:14:59,user85,192.168.24.178,Russia,Kazan’,"[55.7499,49.1263]"
207,2024-04-04 12:32:45,2024-04-04 18:00:45,user235,192.168.170.156,Morocco,Kenitra,"[34.2704,-6.58]"
208,2024-04-07 13:03:11,2024-04-07 14:21:53,user477,192.168.41.30,Mexico,Heroica Matamoros,"[25.88,-97.5]"
209,2024-04-06 09:16:16,2024-04-06 13:34:42,user367,192.168.175.17,Germany,Augsburg,"[48.35,10.9]"
210,2024-04-05 05:47:47,2024-04-05 12:22:41,user120,192.168.199.186,Japan,Tokyo,"[35.685,139.7514]"
211,2024-04-05 16:40:25,2024-04-05 21:28:11,user114,192.168.158.95,Kazakhstan,Pavlodar,"[52.3,76.95]"
212,2024-04-08 02:41:10,2024-04-08 08:29:44,user266,192.168.186.14,Tunisia,Sfax,"[34.75,10.72]"
213,2024-04-03 23:47:52,2024-04-04 07:33:45,user449,192.168.109.192,United States,Charlotte,"[35.2079,-80.8304]"
214,2024-04-04 00:32:53,2024-04-04 08:22:45,user280,192.168.75.114,Netherlands,The Hague,"[52.08,4.27]"
215,2024-04-05 06:16:31,2024-04-05 15:01:48,user171,192.168.154.55,Turkey,Kocaeli,"[40.776,29.9306]"
216,2024-04-06 15:54:04,2024-04-06 16:15:31,user348,192.168.95.30,Brazil,Florianópolis,"[-27.58,-48.52]"
217,2024-04-13 05:12:36,2024-04-13 08:40:50,user336,192.168.224.140,Mexico,San Luis Potosí,"[22.17,-101]"
218,2024-04-16 19:16:34,2024-04-17 04:01:31,user110,192.168.127.132,Egypt,Qinā,"[26.1505,32.72]"
219,2024-04-10 02:00:59,2024-04-10 08:00:37,user457,192.168.96.17,Japan,Matsuyama,"[33.8455,132.7658]"
220,2024-04-04 18:45:52,2024-04-04 21:46:22,user127,192.168.190.250,Brazil,Campos,"[-21.75,-41.32]"
